phonome1,phonome2,distance
ry,ny,72.53019996076374
ry,p,76.425694825707
ry,py,71.27897721095106
ry,r,68.05707713270277
ry,ry,60.31196199396779
ry,s,82.16246736698899
ry,sh,82.74207657800628
ry,sp,82.41254979714874
ry,t,79.98635744837857
ry,ts,82.62509216591887
ry,w,83.70205158192199
ry,y,66.5188168561408
ry,z,74.46928471594835
s,b,73.51062245150592
s,by,89.70590550885738
s,ch,64.27190108484153
s,d,71.0555088371518
s,dy,89.02355564906458
s,f,68.85504005146613
s,g,72.23339633949992
s,gy,81.3640830333767
s,h,68.53429519006029
s,hy,69.0799225845919
s,j,66.96623177166138
s,k,67.63471166348289
s,ky,68.4355892436585
s,m,99.31713434856533
s,my,102.0703968941258
s,n,89.03377070824929
s,ny,95.86776669480646
s,p,69.78587120767453
s,py,84.36864543872606
s,r,73.08864757375675
s,ry,93.50700245466898
s,s,58.76348269942287
s,sh,62.842478095341015
s,sp,68.96971594697328
s,t,67.08257810106879
s,ts,62.05923461600131
s,w,104.77502219392915
s,y,90.8658258979646
s,z,63.877848284146324
sh,b,78.62850780378996
sh,by,94.03364013432888
sh,ch,61.9839071739651
sh,d,75.10625318707463
sh,dy,89.28210555077969
sh,f,72.96422989476223
sh,g,75.4869627425527
sh,gy,85.46400755935743
sh,h,66.38743644203636
sh,hy,68.8309046169348
sh,j,64.65557009634237
sh,k,69.57783689262075
sh,ky,68.28876379670038
sh,m,108.17430777682496
sh,my,107.94267995984315
sh,n,93.78118094243128
sh,ny,98.90775082764397
sh,p,73.50510348264082
sh,py,88.8049836835317
sh,r,74.25708340919272
sh,ry,99.39709585320715
sh,s,62.557576101215695
sh,sh,58.364203429379465
sh,sp,72.47171885702666
sh,t,70.78397498598694
sh,ts,64.09935432292077
sh,w,113.35895120502191
sh,y,95.38870164172268
sh,z,66.66564322943697
sp,b,67.31120587568053
sp,by,76.33781428664092
sp,ch,67.06609649044515
sp,d,67.9617221714182
sp,dy,77.80559698504352
sp,f,62.157761920138235
sp,g,66.8041543387662
sp,gy,75.15739431033198
sp,h,62.59958752534627
sp,hy,66.5739093338214
sp,j,67.83942029644969
sp,k,62.18206109842171
sp,ky,66.0593466938164
sp,m,75.09443377353472
sp,my,80.107122528825
sp,n,74.66607595096264
sp,ny,78.9647102907548
sp,p,63.95611137783872
sp,py,76.0346421989788
sp,r,67.5636868213053
sp,ry,75.34745821657533
sp,s,63.556709893730755
sp,sh,68.4436234554472
sp,sp,54.56600431961211
sp,t,63.57121229247965
sp,ts,63.678084024821466
sp,w,79.19360773062127
sp,y,75.08778834872889
sp,z,64.98747245773272
t,b,69.03784567494188
t,by,81.76891576857768
t,ch,69.05115636423044
t,d,65.42022447064171
t,dy,87.14356466439604
t,f,70.64946221186524
t,g,67.52143568077165
t,gy,78.73306621652091
t,h,71.42703458241914
t,hy,77.04235017527323
t,j,72.83453585970429
t,k,64.32410159939731
t,ky,68.28124849468209
t,m,86.19198529900832
t,my,93.58959772319066
t,n,81.0713110508468
t,ny,91.50763354444808
t,p,64.22833846868646
t,py,76.35599767951265
t,r,70.08473640686789
t,ry,85.72347089815213
t,s,72.19572573251777
t,sh,79.79679508382617
t,sp,68.28625393082983
t,t,60.445935914875
t,ts,68.92645014150506
t,w,94.04206747475331
t,y,83.37082229822367
t,z,68.45930627321833
ts,b,74.75448262348345
ts,by,87.14683017023286
ts,ch,63.26311288171079
ts,d,70.83036975103988
ts,dy,88.59012211781612
ts,f,70.02292849217214
ts,g,71.83553130181242
ts,gy,82.24141057711346
ts,h,70.1445937457877
ts,hy,74.00760946370231
ts,j,66.89599367963099
ts,k,66.87000606804908
ts,ky,67.62063731336919
ts,m,99.27352962114351
ts,my,100.17374212960493
ts,n,87.36506457351898
ts,ny,94.68467822423334
ts,p,68.45358910377422
ts,py,83.57670633987539
ts,r,72.67795157392642
ts,ry,91.82434857328525
ts,s,66.04573265442205
ts,sh,69.2955781252964
ts,sp,69.91833702278782
ts,t,66.37469400105981
ts,ts,59.8703909729428
ts,w,103.28174618703862
ts,y,91.1011180860384
ts,z,64.72181384177001
w,b,68.4996295262488
w,by,83.04144306786871
w,ch,80.01399602803473
w,d,71.9006318475876
w,dy,86.59903954127968
w,f,74.59866822683772
w,g,63.59751960391905
w,gy,78.02610573846242
w,h,68.88428164514981
w,hy,76.1740315398571
w,j,82.98291919384829
w,k,71.6272036047745
w,ky,83.46939429385095
w,m,67.32797016418658
w,my,73.08260873874256
w,n,67.83130815980945
w,ny,75.3515233202378
w,p,72.17306603686261
w,py,88.56162079246606
w,r,67.43611362797573
w,ry,77.13753250652807
w,s,76.71110723458379
w,sh,86.36415060494376
w,sp,75.89993205910845
w,t,77.4293304642635
w,ts,78.43980002588717
w,w,55.005078007555376
w,y,75.42904365133576
w,z,75.93836312727477
y,b,74.05060179875379
y,by,66.64757501781382
y,ch,80.23970915745657
y,d,71.59704725452133
y,dy,84.33651191160148
y,f,78.61870529732992
y,g,68.38965239314615
y,gy,62.943069697467486
y,h,73.35067636123425
y,hy,66.02637664022184
y,j,70.33136661979027
y,k,77.3380659068622
y,ky,72.73326463481216
y,m,72.14304624751472
y,my,68.71197699308216
y,n,69.10137289336878
y,ny,67.26968495814877
y,p,74.31378280286167
y,py,70.41139042676424
y,r,66.42445823270475
y,ry,61.71040692362112
y,s,78.2735686095379
y,sh,77.647092827398
y,sp,79.22215113798431
y,t,79.06676009180036
y,ts,79.57515113205898
y,w,79.96546120594405
y,y,57.246020684783524
y,z,72.3583784617046
z,b,69.31016087781164
z,by,79.07223054049308
z,ch,69.73565526341953
z,d,67.3136325787035
z,dy,79.54769556680652
z,f,70.69664678345129
z,g,68.40375301136822
z,gy,74.74548612453496
z,h,71.06399151238493
z,hy,71.83755204150536
z,j,65.09939596863309
z,k,69.2598716844556
z,ky,71.11548290907015
z,m,83.80426536474197
z,my,87.72552920448123
z,n,77.0092172142621
z,ny,82.78656241583096
z,p,69.89167414773028
z,py,81.2754308162137
z,r,68.51026754005944
z,ry,81.60194805149243
z,s,66.66394495758705
z,sh,70.10702107933552
z,sp,72.2320355773227
z,t,68.49092874964965
z,ts,66.48261100891797
z,w,93.10129068215979
z,y,81.28965990318699
z,z,59.82516624725139
